"","X","filename","architecture","min_val_loss","is_min"
"1",0,"expgamma5d_1","[746. 484. 270.]",-0.975129067897797,0
"2",1,"expgamma5d_1","[391. 503. 401. 231.]",-0.977826595306396,0
"3",2,"expgamma5d_1","[1242.  648.  580.  300.]",-0.978629291057587,0
"4",3,"expgamma5d_1","[573. 743. 641. 440. 316. 244. 223.]",-0.976571023464203,0
"5",4,"expgamma5d_1","[428. 368. 314. 191. 190. 126.]",-0.978828072547913,0
"6",5,"expgamma5d_1","[1173. 1202.]",-0.976233720779419,0
"7",6,"expgamma5d_1","[1479. 1597. 1681.  972.  817.  500.]",-0.975447952747345,0
"8",7,"expgamma5d_1","[1395. 1751.]",-0.975506544113159,0
"9",8,"expgamma5d_1","[220. 150. 107.  53.  31.  19.  15.  13.]",-0.978041768074036,0
"10",9,"expgamma5d_1","[833. 420. 271. 179. 121. 102.]",-0.979476809501648,0
"11",10,"expgamma5d_1","[243. 398. 507. 732. 462. 344.]",-0.978606998920441,0
"12",11,"expgamma5d_1","[ 825.  872. 1648. 1059.  705.  654.  562.  434.  242.  133.]",-0.969840228557587,0
"13",12,"expgamma5d_1","[1527.]",-0.97837233543396,0
"14",13,"expgamma5d_1","[ 866. 1266.  829.  691.]",-0.97872668504715,0
"15",14,"expgamma5d_1","[575. 614. 930. 731. 406. 378. 352. 202.]",-0.974470257759094,0
"16",15,"expgamma5d_1","[ 358.  547. 1044.  929.  567.  355.  283.  206.]",-0.974971532821655,0
"17",16,"expgamma5d_1","[ 915. 1612.  948.  796.  541.  315.  282.  278.  258.  134.]",-0.970738649368286,0
"18",17,"expgamma5d_1","[333. 646. 850. 824. 638. 584.]",-0.976274192333221,0
"19",18,"expgamma5d_1","[528. 492. 464. 266. 164.]",-0.977551460266113,0
"20",19,"expgamma5d_1","[216. 281. 524. 953. 726. 474. 427. 256.]",-0.976107537746429,0
"21",20,"expgamma5d_1","[1483. 1601. 1359.  733.]",-0.977197289466858,0
"22",21,"expgamma5d_1","[1088.  720.  579.]",-0.978473246097565,0
